Pseudo-terminal will not be allocated because stdin is not a terminal.
Warning: Permanently added '[a.pinggy.io]:443' (RSA) to the list of known hosts.
Allocated port 9 for remote forward to localhost:3000
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
http://iucyx-173-23-242-51.run.pinggy-free.link
https://iucyx-173-23-242-51.run.pinggy-free.link

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 712, SB: 0, TC: 1, AC: 1               
RB: 712, SB: 0, TC: 1, AC: 1               
RB: 712, SB: 0, TC: 1, AC: 1               
RB: 1420, SB: 181, TC: 1, AC: 1               
RB: 1420, SB: 181, TC: 1, AC: 1               
RB: 1420, SB: 5333, TC: 1, AC: 1               
RB: 1420, SB: 5333, TC: 1, AC: 0               
RB: 1420, SB: 5333, TC: 2, AC: 1               
RB: 1420, SB: 5333, TC: 1, AC: 0               
RB: 1420, SB: 5333, TC: 1, AC: 0               
RB: 1420, SB: 5333, TC: 1, AC: 0               
RB: 2168, SB: 5514, TC: 2, AC: 1               
RB: 2168, SB: 5514, TC: 2, AC: 1               
RB: 2168, SB: 5514, TC: 2, AC: 1               
RB: 2168, SB: 5514, TC: 2, AC: 1               
RB: 2168, SB: 5514, TC: 2, AC: 1               
RB: 2168, SB: 5514, TC: 2, AC: 1               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 3667, SB: 43053, TC: 3, AC: 2               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 9610, SB: 536324, TC: 7, AC: 6               
RB: 18543, SB: 1009988, TC: 7, AC: 6               
RB: 18543, SB: 1009988, TC: 7, AC: 6               
RB: 18543, SB: 1009988, TC: 7, AC: 6               
RB: 18543, SB: 1009988, TC: 7, AC: 6               
RB: 18543, SB: 1009988, TC: 7, AC: 6               
RB: 18543, SB: 1009988, TC: 7, AC: 5               
RB: 18543, SB: 1009988, TC: 8, AC: 6               
RB: 18543, SB: 1009988, TC: 8, AC: 6               
RB: 20838, SB: 1038578, TC: 8, AC: 7               
RB: 20838, SB: 1038578, TC: 8, AC: 7               
RB: 20838, SB: 1038578, TC: 8, AC: 7               
RB: 20838, SB: 1038578, TC: 8, AC: 7               
RB: 20838, SB: 1038578, TC: 8, AC: 6               
RB: 20838, SB: 1038578, TC: 9, AC: 7               
RB: 21724, SB: 1048244, TC: 9, AC: 8               
RB: 21724, SB: 1048244, TC: 9, AC: 8               
RB: 22610, SB: 1048244, TC: 10, AC: 9               
RB: 22610, SB: 1048244, TC: 10, AC: 9               
RB: 22610, SB: 1048244, TC: 10, AC: 8               
RB: 22610, SB: 1048244, TC: 11, AC: 9               
RB: 22610, SB: 1048256, TC: 10, AC: 9               
RB: 22610, SB: 1048256, TC: 10, AC: 7               
RB: 22610, SB: 1048256, TC: 10, AC: 7               
RB: 23496, SB: 1048256, TC: 11, AC: 8               
RB: 23496, SB: 1048256, TC: 11, AC: 7               
RB: 23496, SB: 1048256, TC: 12, AC: 8               
RB: 23496, SB: 1048256, TC: 12, AC: 8               
RB: 23496, SB: 1048256, TC: 12, AC: 8               
RB: 24382, SB: 1048268, TC: 12, AC: 8               
RB: 24382, SB: 1048268, TC: 12, AC: 8               
RB: 24382, SB: 1048268, TC: 12, AC: 7               
RB: 24382, SB: 1048268, TC: 13, AC: 8               
RB: 24382, SB: 1048268, TC: 13, AC: 8               
RB: 25268, SB: 1048280, TC: 13, AC: 9               
RB: 25268, SB: 1048280, TC: 13, AC: 8               
RB: 25268, SB: 1048280, TC: 14, AC: 9               
RB: 25268, SB: 1048280, TC: 14, AC: 9               
RB: 25268, SB: 1048292, TC: 13, AC: 9               
RB: 25268, SB: 1048292, TC: 13, AC: 9               
RB: 25268, SB: 1048292, TC: 14, AC: 8               
RB: 25268, SB: 1048292, TC: 14, AC: 8               
RB: 25268, SB: 1048292, TC: 14, AC: 7               
RB: 25268, SB: 1048292, TC: 15, AC: 8               
RB: 25268, SB: 1048292, TC: 15, AC: 8               
RB: 27040, SB: 1048304, TC: 15, AC: 9               
RB: 27040, SB: 1048304, TC: 15, AC: 9               
RB: 27040, SB: 1048304, TC: 15, AC: 8               
RB: 27040, SB: 1048304, TC: 16, AC: 9               
RB: 27040, SB: 1048304, TC: 16, AC: 9               
RB: 27926, SB: 1048316, TC: 16, AC: 9               
RB: 27926, SB: 1048316, TC: 16, AC: 9               
RB: 27926, SB: 1048316, TC: 16, AC: 8               
RB: 27926, SB: 1048316, TC: 17, AC: 9               
RB: 27926, SB: 1048328, TC: 16, AC: 9               
RB: 27926, SB: 1048328, TC: 16, AC: 3               
RB: 27926, SB: 1048328, TC: 16, AC: 3               
RB: 28812, SB: 1048328, TC: 17, AC: 4               
RB: 28812, SB: 1048328, TC: 17, AC: 3               
RB: 28812, SB: 1048328, TC: 18, AC: 4               
RB: 28812, SB: 1048328, TC: 18, AC: 4               
RB: 28812, SB: 1048328, TC: 18, AC: 4               
RB: 29698, SB: 1048340, TC: 18, AC: 2               
RB: 29698, SB: 1048340, TC: 18, AC: 1               
RB: 29698, SB: 1048340, TC: 19, AC: 2               
RB: 29698, SB: 1048340, TC: 19, AC: 2               
RB: 29698, SB: 1048340, TC: 19, AC: 2               
RB: 29698, SB: 1048340, TC: 19, AC: 1               
RB: 29698, SB: 1048340, TC: 20, AC: 2               
RB: 29698, SB: 1048340, TC: 20, AC: 2               
RB: 30584, SB: 1048364, TC: 19, AC: 3               
RB: 30584, SB: 1048364, TC: 19, AC: 3               
RB: 30584, SB: 1048364, TC: 19, AC: 3               
RB: 30584, SB: 1048364, TC: 19, AC: 2               
RB: 30584, SB: 1048364, TC: 20, AC: 3               
RB: 31470, SB: 1048376, TC: 20, AC: 1               
RB: 31470, SB: 1048376, TC: 20, AC: 1               
RB: 31470, SB: 1048376, TC: 20, AC: 1               
RB: 31470, SB: 1048376, TC: 20, AC: 0               
RB: 31470, SB: 1048376, TC: 21, AC: 1               
RB: 32356, SB: 1048388, TC: 21, AC: 2               
RB: 32356, SB: 1048388, TC: 21, AC: 2               
RB: 32356, SB: 1048388, TC: 21, AC: 1               
RB: 32356, SB: 1048388, TC: 21, AC: 1               
RB: 32356, SB: 1048388, TC: 22, AC: 2               
RB: 33242, SB: 1048400, TC: 22, AC: 3               
RB: 33242, SB: 1048400, TC: 22, AC: 1               
